Terminoa: dict   eta agerpen kopurua:   72    Agertzen da:		[pdf.worker.js: app/content/pdfjs/build;viewer.js: app/content/pdfjs/web]
Terminoa: descriptor   eta agerpen kopurua:   68    Agertzen da:		[pdf.js: app/content/pdfjs/build;pdf.worker.js: app/content/pdfjs/build]
Terminoa: global   eta agerpen kopurua:   66    Agertzen da:		[pdf.js: app/content/pdfjs/build;pdf.worker.js: app/content/pdfjs/build]
Terminoa: used   eta agerpen kopurua:   66    Agertzen da:		[pdf.js: app/content/pdfjs/build]
Terminoa: token   eta agerpen kopurua:   64    Agertzen da:		[pdf.worker.js: app/content/pdfjs/build;MoodleBackgroundManager.js: app/scripts/background;MoodleClientManager.js: app/scripts/moodle]
Terminoa: hash   eta agerpen kopurua:   64    Agertzen da:		[pdf.worker.js: app/content/pdfjs/build;viewer.js: app/content/pdfjs/web;ColorUtils.js: app/scripts/utils;URLUtils.js: app/scripts/utils;acmContentScript.js: app/scripts;springerContentScript.js: app/scripts]
Terminoa: callback   eta agerpen kopurua:   63    Agertzen da:		[pdf.js: app/content/pdfjs/build;pdf.worker.js: app/content/pdfjs/build]
Terminoa: codebook   eta agerpen kopurua:   63    Agertzen da:		[GSheetParser.js: app/scripts/codebook/operations/create/googleSheetsProvider;DeleteCodebook.js: app/scripts/codebook/operations/delete;RenameCodebook.js: app/scripts/codebook/operations/update;AnnotationExporter.js: app/scripts/importExport]
Terminoa: bytes   eta agerpen kopurua:   61    Agertzen da:		[pdf.js: app/content/pdfjs/build;pdf.worker.js: app/content/pdfjs/build]
Terminoa: file   eta agerpen kopurua:   61    Agertzen da:		[pdf.js: app/content/pdfjs/build;pdf.worker.js: app/content/pdfjs/build;viewer.js: app/content/pdfjs/web;MoodleDownloadManager.js: app/scripts/background]
Terminoa: range   eta agerpen kopurua:   61    Agertzen da:		[pdf.worker.js: app/content/pdfjs/build;CreateAnnotation.js: app/scripts/annotationManagement/create;DOMTextUtils.js: app/scripts/utils]
Terminoa: isObject   eta agerpen kopurua:   60    Agertzen da:		[pdf.js: app/content/pdfjs/build;pdf.worker.js: app/content/pdfjs/build]
Terminoa: reader   eta agerpen kopurua:   59    Agertzen da:		[pdf.js: app/content/pdfjs/build;pdf.worker.js: app/content/pdfjs/build;FileUtils.js: app/scripts/utils]
Terminoa: content   eta agerpen kopurua:   58    Agertzen da:		[pdf.js: app/content/pdfjs/build;pdf.worker.js: app/content/pdfjs/build;viewer.js: app/content/pdfjs/web]
Terminoa: create   eta agerpen kopurua:   57    Agertzen da:		[pdf.js: app/content/pdfjs/build;pdf.worker.js: app/content/pdfjs/build]
Terminoa: done   eta agerpen kopurua:   57    Agertzen da:		[pdf.js: app/content/pdfjs/build;pdf.worker.js: app/content/pdfjs/build]
Terminoa: params   eta agerpen kopurua:   55    Agertzen da:		[pdf.js: app/content/pdfjs/build;pdf.worker.js: app/content/pdfjs/build;viewer.js: app/content/pdfjs/web;AnnotationBasedInitializer.js: app/scripts/contentScript;RolesManager.js: app/scripts/contentScript;TargetManager.js: app/scripts/target;acmContentScript.js: app/scripts;scienceDirectContentScript.js: app/scripts;springerContentScript.js: app/scripts]
